OpenTime,Open,High,Low,Close,Volume
1759502400000,120680.0,120707.0,120611.19,120642.99,0.41649
1759502700000,120643.0,120924.0,120643.0,120835.67,1.45733
1759503000000,120835.67,120967.98,120797.14,120947.69,0.69158
1759503300000,120954.6,120954.61,120839.0,120876.92,0.20583
1759503600000,120919.66,120919.67,120707.28,120707.28,1.83232
1759503900000,120704.43,120850.0,120668.73,120736.68,0.95702
1759504200000,120761.23,120823.95,120654.79,120823.94,0.40662
1759504500000,120841.55,121346.7,120841.54,121260.84,2.11241
1759504800000,121247.94,121456.26,121247.94,121377.73,0.7082
1759505100000,121377.72,121377.72,121235.0,121312.32,0.44352
1759505400000,121293.73,121752.62,121293.72,121752.62,3.3124
1759505700000,121752.62,121780.0,121657.31,121742.93,1.60357
1759506000000,121742.92,121755.43,121645.6,121691.69,0.40469
1759506300000,121691.68,121922.87,121653.68,121799.98,0.59149
1759506600000,121799.98,122064.81,121792.61,122042.18,0.99638
1759506900000,122042.18,122340.08,121939.99,122258.05,4.95703
1759507200000,122258.04,122861.54,122258.04,122760.0,3.41022
1759507500000,122759.99,122938.16,122636.83,122858.61,0.81621
1759507800000,122822.44,123288.04,122822.44,123094.75,1.20135
1759508100000,123094.75,123300.0,123015.34,123085.89,2.0764
1759508400000,123062.65,123442.44,122910.66,123434.51,3.01948
1759508700000,123434.9,123801.5,123434.89,123680.73,3.72693
1759509000000,123680.74,123847.53,123561.72,123758.02,1.24446
1759509300000,123758.02,123869.85,123666.1,123750.12,1.34055
1759509600000,123750.11,123797.0,123734.55,123761.63,0.51516
1759509900000,123761.64,123769.08,123108.36,123108.37,1.3703
1759510200000,123108.36,123235.95,122856.57,122856.57,1.01779
1759510500000,122856.58,122993.01,122531.34,122537.7,0.83987
1759510800000,122537.71,123211.44,121740.07,122003.18,2.19224
1759511100000,122003.19,122733.0,121855.37,122733.0,1.65209
1759511400000,122732.99,123047.01,122504.85,123019.17,2.32083
1759511700000,123019.16,123019.17,122336.62,122406.65,2.72505
1759512000000,122406.66,123769.07,122293.62,122475.99,1.22114
1759512300000,122935.87,122935.87,122445.87,122535.48,1.0714
1759512600000,122509.0,200000.0,120137.63,122684.4,5.17647
1759512900000,122684.39,122939.0,122664.23,122933.72,2.27558
1759513200000,122933.72,122961.9,122579.78,122579.78,0.91792
1759513500000,122579.79,122601.0,122150.64,122150.65,2.25353
1759513800000,122150.64,122254.86,121693.75,121693.76,1.4077
1759514100000,121693.75,122207.65,121693.75,122072.31,0.84132
1759514400000,122072.3,122106.93,121697.09,121796.1,2.50261
1759514700000,121796.11,121850.59,121486.93,121821.49,2.35792
1759515000000,121821.5,122425.44,121821.49,122020.55,2.51129
1759515300000,122020.56,122287.95,122020.55,122287.95,0.52182
1759515600000,122287.94,122481.33,122223.39,122479.0,0.65882
1759515900000,122479.0,122580.0,122453.65,122483.75,0.54143
1759516200000,122483.74,122585.22,122225.91,122492.14,0.76786
1759516500000,122492.15,122701.76,122492.14,122659.15,3.06643
1759516800000,122659.15,122692.99,122580.85,122649.3,1.61597
1759517100000,122649.31,122720.0,122431.25,122431.26,1.54125
1759517400000,122431.25,122483.31,122357.8,122445.48,1.75006
1759517700000,122441.16,122536.92,122403.63,122536.91,0.42917
1759518000000,122538.46,122592.43,122362.8,122374.71,1.58554
1759518300000,122374.72,122469.6,122356.6,122458.59,1.50815
1759518600000,122514.26,122580.86,122428.23,122447.12,1.92615
1759518900000,122447.11,122717.0,122447.11,122665.27,1.55562
1759519200000,122665.26,122687.31,122543.78,122581.0,0.48888
1759519500000,122581.01,122819.12,122581.0,122819.11,0.63423
1759519800000,122787.67,122951.48,122787.66,122876.06,0.70806
1759520100000,122876.05,151011.77,122671.2,122671.2,3.9144
1759520400000,122671.2,122831.0,122671.19,122763.0,2.19658
1759520700000,122762.99,122777.64,122572.78,122665.8,2.0156
1759521000000,122665.8,122741.51,122611.21,122716.99,0.53389
1759521300000,122700.0,122700.0,122595.85,122660.99,0.53106
1759521600000,122661.0,122661.0,122292.18,122348.63,1.18222
1759521900000,122348.62,122465.0,122159.68,122165.12,0.72056
1759522200000,122165.11,122168.0,122037.43,122097.21,1.54893
1759522500000,122097.22,122496.3,122097.21,122190.52,1.16962
1759522800000,122190.53,122266.0,122170.26,122185.18,7.47806
1759523100000,122195.85,122227.97,122099.51,122149.99,1.00703
1759523400000,122150.0,122418.01,122149.99,122279.09,0.70934
1759523700000,122279.1,122429.0,122276.21,122428.99,0.34565
1759524000000,122429.0,122673.4,122371.94,122673.4,1.90699
1759524300000,122673.4,122707.95,122510.73,122607.9,0.40341
1759524600000,122607.91,122607.91,122513.71,122549.14,0.46907
1759524900000,122549.13,122552.03,122415.77,122439.85,0.34697
1759525200000,122439.86,122443.98,122373.84,122431.25,0.311
1759525500000,122431.26,122431.26,122336.53,122367.98,0.53914
1759525800000,122367.97,122438.84,122367.97,122438.84,1.23936
1759526100000,122438.84,122451.82,122276.5,122276.5,0.43405
1759526400000,122288.44,122336.55,122288.43,122316.38,1.21901
1759526700000,122316.39,122337.2,122291.65,122291.65,0.30989
1759527000000,122291.66,122357.02,122218.43,122222.95,0.60734
1759527300000,122222.94,122222.95,122112.92,122179.9,0.32343
1759527600000,122179.89,122179.9,122063.68,122135.07,0.40678
1759527900000,122135.08,122181.67,122114.27,122114.27,0.32948
1759528200000,122114.28,122316.49,122014.67,122316.48,2.56098
1759528500000,122316.49,122380.46,122288.21,122306.57,1.0813
1759528800000,122306.56,122403.45,122306.56,122403.45,0.31915
1759529100000,122403.44,122449.37,122356.78,122449.36,0.18172
1759529400000,122449.37,122454.69,122391.31,122454.68,1.55596
1759529700000,122454.69,122534.23,122431.25,122500.23,0.51328
1759530000000,122500.24,122500.24,122462.66,122481.12,0.30542
1759530300000,122481.12,122481.14,122480.06,122481.14,0.13724
1759530600000,122481.14,122508.84,122481.13,122505.46,1.14047
1759530900000,122505.46,122621.43,122505.45,122621.43,0.45641
1759531200000,122621.42,122665.0,122585.06,122592.02,0.88243
1759531500000,122584.0,122599.0,122567.0,122597.99,1.45204
1759531800000,122598.0,122598.0,122465.45,122465.45,1.12524
1759532100000,122465.45,122477.0,122447.83,122476.99,0.22376
1759532400000,122477.0,122477.0,122408.1,122408.1,0.1685
1759532700000,122408.1,122408.11,122372.47,122372.47,0.27701
1759533000000,122372.47,122372.47,122283.01,122325.6,0.46726
1759533300000,122325.6,122338.78,122283.0,122336.94,0.35053
1759533600000,122336.94,122358.43,122072.16,122338.81,1.28975
1759533900000,122338.81,122338.81,122285.37,122285.37,0.43736
1759534200000,122277.06,122277.06,122196.69,122275.56,2.17847
1759534500000,122275.56,122324.02,122257.46,122324.01,1.32618
1759534800000,122324.02,122332.68,122300.98,122300.98,0.69357
1759535100000,122300.99,122315.37,122083.04,122241.12,0.34103
1759535400000,122241.12,122258.69,122182.66,122182.67,0.2785
1759535700000,122182.66,122225.44,122180.79,122225.43,0.47838
1759536000000,122225.44,122260.0,122074.06,122110.69,1.40074
1759536300000,122110.7,122246.97,122110.69,122231.61,4.38857
1759536600000,122231.61,122241.0,122180.22,122180.22,5.42384
1759536900000,122180.21,122235.48,122179.2,122218.99,0.25446
1759537200000,122219.0,122295.55,122218.99,122295.55,0.57409
1759537500000,122295.56,122295.56,122177.2,122185.32,0.29316
1759537800000,122168.46,122181.74,122019.52,122061.27,0.71869
1759538100000,122060.01,122099.04,121999.08,122021.73,0.60614
1759538400000,122021.74,122093.02,122008.6,122055.16,0.28398
1759538700000,122055.15,122088.33,121993.26,121993.26,0.46266
1759539000000,121993.26,122075.5,121993.25,122054.09,0.27839
1759539300000,122054.1,122099.0,122028.0,122099.0,0.28751
1759539600000,122098.99,122103.24,122035.0,122064.13,0.68472
1759539900000,122064.13,122100.0,122020.0,122100.0,0.25876
1759540200000,122099.99,122100.0,122020.87,122089.99,0.45492
1759540500000,122090.0,122091.83,122020.0,122082.99,0.34529
